HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
0,4,7,7,-2,2,0.0,2.0,0,1,2.0,0.0,-2.0,2.0,0,2,-1,4.76,3.74,1.78,2.07,1.79
0,21,20,21,1,-1,0.5,0.0,1,0,1.0,1.0,-0.5,-1.0,1,0,1,1.52,4.48,6.4,1.71,2.17
0,16,15,15,2,-2,1.33,1.0,2,0,1.0,3.0,0.33,-2.0,3,1,1,2.28,3.31,3.35,2.07,1.79
0,5,22,30,0,0,1.5,2.0,2,0,1.25,2.0,0.25,0.0,2,2,0,1.65,3.87,5.65,1.93,1.91
0,1,4,19,2,-2,1.8,1.0,3,0,1.2,3.0,0.6,-2.0,3,1,1,1.91,3.73,4.05,1.78,2.08
0,22,16,15,1,-1,2.0,0.0,4,0,0.8,1.0,1.2,-1.0,1,0,1,1.39,4.9,8.25,1.6,2.38
0,13,20,21,2,-2,2.2,0.0,4,0,0.8,2.0,1.4,-2.0,2,0,1,1.47,4.77,6.61,1.62,2.33
0,15,14,14,3,-3,2.2,0.0,4,0,0.6,3.0,1.6,-3.0,3,0,1,1.67,3.99,5.32,1.79,2.06
0,18,4,3,2,-2,2.2,0.0,5,0,0.2,2.0,2.0,-2.0,2,0,1,2.2,3.58,3.26,1.83,2.02
0,11,17,3,-1,1,1.8,2.0,4,1,0.4,1.0,1.4,1.0,1,2,-1,5.91,4.62,1.53,1.58,2.4
0,3,22,21,0,0,1.6,0.0,3,0,0.4,0.0,1.2,0.0,0,0,0,1.36,4.97,9.11,1.76,2.09
0,20,27,10,1,-1,1.6,1.0,3,0,0.6,2.0,1.0,-1.0,2,1,1,1.46,4.46,7.68,1.96,1.88
0,19,5,11,1,-1,1.4,1.0,3,0,0.8,2.0,0.6,-1.0,2,1,1,1.65,3.8,5.83,2.23,1.67
0,9,17,12,2,-2,1.4,0.0,3,0,0.8,2.0,0.6,-2.0,2,0,1,1.53,4.55,6.0,1.63,2.31
0,10,3,4,-2,2,1.2,2.0,3,1,0.8,0.0,0.4,2.0,0,2,-1,3.78,3.98,1.92,1.72,2.15
0,2,24,35,-1,1,1.4,2.0,3,1,1.2,1.0,0.2,1.0,1,2,-1,1.65,3.9,5.64,2.01,1.81
0,12,14,4,2,-2,1.6,1.0,3,0,1.2,3.0,0.4,-2.0,3,1,1,2.11,3.58,3.5,1.81,2.03
0,8,15,13,1,-1,1.6,1.0,3,0,1.2,2.0,0.4,-1.0,2,1,1,1.46,4.81,6.77,1.58,2.41
0,6,14,11,4,-4,2.2,1.0,3,0,1.4,5.0,0.8,-4.0,5,1,1,1.37,5.15,8.69,1.57,2.42
1,13,7,7,2,-2,2.0,0.0,1,0,0.0,2.0,2.0,-2.0,2,0,1,1.82,3.92,4.25,1.77,2.09
1,20,7,7,0,0,1.5,1.0,1,0,0.5,1.5,1.0,-0.5,1,1,0,2.0,3.57,3.84,1.97,1.88
1,6,21,21,3,-3,2.0,0.5,2,0,0.33,4.0,1.67,-3.5,3,0,1,2.4,3.36,3.06,2.0,1.84
1,19,28,20,-1,1,2.0,2.0,2,1,1.0,2.0,1.0,0.0,2,3,-1,2.25,3.28,3.42,2.12,1.76
1,18,15,14,-3,3,1.8,2.0,2,1,1.6,1.5,0.2,0.5,1,4,-1,2.83,3.5,2.48,1.81,2.03
1,2,20,21,2,-2,1.8,1.0,2,1,1.6,1.5,0.2,-0.5,2,0,1,2.43,3.31,3.04,2.08,1.77
1,11,11,25,-1,1,1.8,2.0,2,2,1.8,1.0,0.0,1.0,1,2,-1,8.6,5.2,1.36,1.63,2.3
1,9,4,4,1,-1,1.6,0.5,2,0,2.0,2.0,-0.4,-1.5,2,1,1,2.36,3.45,3.03,1.87,1.97
1,4,21,7,-2,2,1.4,2.5,2,2,2.0,0.5,-0.6,2.0,1,3,-1,5.35,3.77,1.7,2.03,1.82
