HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
0,18,7,7,1,-1,2.0,1.0,1,0,1.0,2.0,1.0,-1.0,2,1,1,1.53,4.51,5.91,1.64,2.3
0,14,15,13,1,-1,2.0,1.0,2,0,1.0,2.0,1.0,-1.0,2,1,1,1.56,4.09,6.25,1.93,1.89
0,9,21,28,-1,1,1.33,1.0,2,1,1.0,0.0,0.33,1.0,0,1,-1,1.93,3.74,3.92,1.74,2.12
0,1,14,21,-3,3,1.0,3.0,2,1,1.5,0.0,-0.5,3.0,0,3,-1,1.7,3.97,4.92,1.68,2.22
0,19,21,21,-1,1,1.0,2.0,2,1,1.6,1.0,-0.6,1.0,1,2,-1,2.13,3.28,3.72,2.31,1.62
0,3,14,15,-1,1,0.6,1.0,1,1,1.6,0.0,-1.0,1.0,0,1,-1,1.54,4.22,6.42,1.9,1.92
0,15,3,9,0,0,0.4,1.0,0,0,1.6,1.0,-1.2,0.0,1,1,0,2.25,3.47,3.19,1.8,2.03
0,4,10,11,2,-2,1.0,1.0,1,0,1.6,3.0,-0.6,-2.0,3,1,1,4.06,3.59,1.93,1.91,1.91
0,5,19,19,0,0,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0,0,0,1.55,4.1,6.37,1.87,1.95
0,13,4,6,3,-3,1.4,0.0,2,0,0.6,3.0,0.8,-3.0,3,0,1,1.44,4.61,7.54,1.79,2.05
0,12,12,10,0,0,1.4,0.0,2,0,0.4,0.0,1.0,0.0,0,0,0,2.86,3.4,2.51,1.82,2.01
0,8,15,14,2,-2,2.0,2.0,3,0,0.6,4.0,1.4,-2.0,4,2,1,1.89,3.77,3.98,1.59,2.38
