HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
12,20,7,6,1,-1,1.4,1.8,3,2,1.4,1.4,0.0,0.4,2,1,1,1.69,4.2,4.78,1.64,2.23
12,11,22,21,-3,3,1.2,2.6,2,4,2.0,0.6,-0.8,2.0,0,3,-1,4.99,4.04,1.69,1.73,2.15
12,25,13,13,1,-1,0.8,0.8,2,1,1.6,2.4,-0.8,-1.6,1,0,1,1.33,5.6,9.17,1.53,2.52
12,4,25,11,1,-1,1.0,1.6,3,2,1.2,1.8,-0.2,-0.2,2,1,1,2.82,3.65,2.43,1.65,2.28
12,23,3,3,-3,3,1.0,1.4,3,1,1.6,2.8,-0.6,-1.4,0,3,-1,1.55,4.65,5.54,1.51,2.56
12,1,17,9,1,-1,1.2,1.6,3,2,1.8,2.6,-0.6,-1.0,3,2,1,2.63,3.63,2.61,1.63,2.33
12,16,19,17,0,0,1.6,1.6,3,1,1.6,2.4,0.0,-0.8,2,2,0,2.2,3.93,3.0,1.47,2.72
12,18,21,14,3,-3,2.0,0.8,3,1,1.6,3.0,0.4,-2.2,3,0,1,1.66,4.23,4.93,1.62,2.33
12,7,20,21,-1,1,1.8,2.2,2,3,1.8,2.4,0.0,-0.2,1,2,-1,1.58,4.47,5.33,1.57,2.43
12,6,14,14,2,-2,2.2,0.2,3,0,1.2,1.4,1.0,-1.2,2,0,1,1.85,3.89,4.09,1.68,2.23
12,10,29,36,0,0,2.0,1.4,2,1,1.2,1.4,0.8,0.0,2,2,0,4.69,4.65,1.63,1.34,3.25
12,14,17,11,2,-2,2.4,1.4,3,1,1.2,2.6,1.2,-1.2,4,2,1,1.31,6.11,8.44,1.36,3.18
12,3,3,7,0,0,2.0,1.4,2,2,1.4,1.6,0.6,-0.2,1,1,0,1.52,4.9,5.44,1.36,3.15
12,0,15,14,-1,1,1.8,1.4,2,2,1.2,1.2,0.6,0.2,0,1,-1,7.08,5.5,1.39,1.37,3.09
12,13,3,11,1,-1,2.0,1.0,2,1,1.6,1.8,0.4,-0.8,3,2,1,2.73,4.04,2.34,1.33,3.33
13,1,7,7,4,-4,5.0,1.4,1,1,1.0,3.4,4.0,-2.0,5,1,1,1.76,3.88,4.61,1.76,2.09
13,10,15,14,-1,1,3.0,1.8,1,2,1.5,1.2,1.5,0.6,1,2,-1,2.2,3.9,3.03,1.49,2.64
13,20,20,28,1,-1,2.33,1.2,2,1,1.0,1.6,1.33,-0.4,1,0,1,1.53,4.37,6.12,1.67,2.24
13,3,14,12,2,-2,2.25,1.0,3,1,0.75,2.0,1.5,-1.0,2,0,1,1.33,5.62,9.22,1.53,2.52
13,5,21,21,4,-4,2.6,1.0,4,2,0.6,1.6,2.0,-0.6,4,0,1,1.46,4.53,7.44,1.82,2.03
13,0,14,14,1,-1,1.8,1.2,4,2,0.4,1.0,1.4,0.2,1,0,1,2.82,3.39,2.56,1.92,1.91
13,4,21,19,3,-3,2.4,1.4,5,1,0.2,2.6,2.2,-1.2,4,1,1,2.62,3.5,2.68,1.84,2.01
13,12,7,6,1,-1,2.4,0.8,5,2,0.2,1.0,2.2,-0.2,1,0,1,1.94,3.84,3.84,1.71,2.19
13,7,14,13,3,-3,2.6,2.0,5,2,0.2,3.0,2.4,-1.0,3,0,1,1.87,3.91,4.03,1.72,2.16
13,24,10,17,-2,2,2.0,1.2,4,1,0.8,2.0,1.2,-0.8,1,3,-1,1.51,4.41,6.57,1.78,2.02
13,11,18,17,-1,1,2.2,2.6,3,4,1.4,0.8,0.8,1.8,2,3,-1,5.5,4.47,1.57,1.61,2.35
13,25,21,22,0,0,2.2,1.2,2,0,2.0,3.0,0.2,-1.8,4,4,0,1.43,4.97,7.02,1.58,2.43
13,23,14,7,0,0,2.4,1.6,1,1,2.4,2.6,0.0,-1.0,2,2,0,1.85,4.16,3.83,1.47,2.68
13,19,14,14,3,-3,2.4,0.4,1,0,2.4,2.4,0.0,-2.0,3,0,1,1.9,3.95,3.8,1.59,2.39
13,18,28,28,1,-1,3.0,1.4,2,1,2.4,2.8,0.6,-1.4,4,3,1,1.84,4.16,3.87,1.51,2.59
13,6,3,3,0,0,2.8,0.4,2,0,2.0,1.6,0.8,-1.2,1,1,0,2.01,3.82,3.55,1.67,2.24
13,16,11,11,4,-4,2.8,1.6,3,1,1.2,2.6,1.6,-1.0,4,0,1,2.75,4.02,2.34,1.36,3.18
13,14,14,3,4,-4,3.4,1.4,4,1,1.0,3.0,2.4,-1.6,5,1,1,1.23,7.04,11.1,1.33,3.31
13,2,14,13,0,0,3.0,1.2,3,1,1.2,2.0,1.8,-0.8,1,1,0,1.59,4.81,4.84,1.33,3.32
24,14,7,7,1,-1,2.0,1.4,1,1,1.0,2.8,1.0,-1.4,2,1,1,1.95,3.43,4.25,2.24,1.67
24,3,31,7,0,0,1.5,1.0,1,1,1.0,1.6,0.5,-0.6,1,1,0,2.24,3.51,3.22,1.91,1.92
24,20,13,15,0,0,1.33,1.4,1,1,1.0,1.2,0.33,0.2,1,1,0,2.81,3.27,2.65,2.09,1.76
24,25,20,21,0,0,1.5,1.6,1,0,1.25,3.2,0.25,-1.6,2,2,0,1.69,3.82,5.33,2.03,1.8
24,1,15,28,2,-2,1.6,1.4,2,1,1.0,3.2,0.6,-1.8,2,0,1,4.09,3.77,1.89,1.76,2.1
24,2,20,21,-1,1,1.6,1.6,1,2,1.4,2.0,0.2,-0.4,2,3,-1,3.22,3.64,2.2,1.74,2.13
24,6,7,21,-1,1,1.4,0.6,1,1,1.4,1.2,0.0,-0.6,0,1,-1,2.8,3.35,2.62,2.04,1.8
24,16,13,12,-2,2,1.2,1.6,1,2,1.6,1.8,-0.4,-0.2,0,2,-1,4.52,4.13,1.74,1.63,2.32
24,23,8,14,-1,1,1.2,2.0,1,2,1.8,2.4,-0.6,-0.4,2,3,-1,2.76,3.49,2.54,1.89,1.95
24,12,7,7,1,-1,1.2,0.8,1,1,2.0,1.4,-0.8,-0.6,2,1,1,3.27,3.68,2.16,1.76,2.1
24,0,31,30,-1,1,1.0,1.4,1,3,1.8,1.0,-0.8,0.4,1,2,-1,8.12,5.09,1.39,1.65,2.29
24,13,11,11,-1,1,1.4,1.4,1,1,2.2,2.2,-0.8,-0.8,2,3,-1,3.3,3.71,2.13,1.71,2.16
24,18,7,13,2,-2,1.8,1.2,2,1,1.8,2.6,0.0,-1.4,2,0,1,2.43,3.51,2.9,1.85,1.99
24,10,14,14,-1,1,1.4,1.4,2,2,1.4,1.0,0.0,0.4,0,1,-1,5.63,4.67,1.54,1.48,2.65
24,5,28,28,0,0,1.2,1.0,1,1,1.4,1.8,-0.2,-0.8,1,1,0,2.26,3.36,3.31,2.09,1.76
24,7,3,3,2,-2,1.6,1.6,2,2,1.2,2.8,0.4,-1.2,3,1,1,2.71,3.49,2.62,1.81,2.03
24,19,11,11,0,0,1.6,0.8,2,0,1.0,2.4,0.6,-1.6,2,2,0,2.16,3.55,3.37,1.83,2.0
24,11,15,3,-2,2,1.2,2.2,1,4,1.4,0.8,-0.2,1.4,0,2,-1,9.5,5.72,1.31,1.53,2.5
24,4,13,14,-1,1,1.6,1.8,1,2,1.8,2.2,-0.2,-0.4,2,3,-1,3.39,3.94,2.03,1.48,2.64
14,5,7,7,-1,1,0.0,1.0,0,2,1.0,1.4,-1.0,-0.4,0,1,-1,3.12,3.24,2.41,2.21,1.68
14,11,15,16,-1,1,0.5,2.4,0,5,1.5,0.8,-1.0,1.6,1,2,-1,16.67,7.51,1.18,1.57,2.41
14,6,6,13,0,0,1.0,0.8,0,1,1.67,1.4,-0.67,-0.6,2,2,0,3.01,3.23,2.5,2.26,1.66
14,13,22,22,-8,8,0.75,2.6,0,2,3.25,1.4,-2.5,1.2,0,8,-1,7.01,4.78,1.45,1.66,2.25
14,12,27,28,-1,1,0.8,1.2,0,2,3.0,1.6,-2.2,-0.4,1,2,-1,7.27,5.07,1.42,1.55,2.47
14,19,14,14,1,-1,1.2,0.8,1,0,3.0,2.6,-1.8,-1.8,2,1,1,3.83,3.64,1.98,1.89,1.94
14,23,21,21,-2,2,1.2,2.4,1,3,3.2,2.2,-2.0,0.2,1,3,-1,3.29,3.53,2.21,1.83,2.02
14,10,11,11,-2,2,0.8,1.6,1,3,3.2,0.8,-2.4,0.8,0,2,-1,13.54,7.67,1.2,1.32,3.4
14,20,3,3,1,-1,1.0,0.4,2,0,1.6,1.2,-0.6,-0.8,1,0,1,4.48,3.82,1.8,1.91,1.93
14,25,17,24,-1,1,1.2,2.0,2,1,1.8,2.8,-0.6,-0.8,2,3,-1,2.41,3.32,3.07,2.11,1.75
14,18,26,24,0,0,1.2,1.2,1,0,2.0,2.8,-0.8,-1.6,2,2,0,3.43,3.43,2.18,2.05,1.79
14,1,13,20,-5,5,1.0,1.8,1,1,2.4,2.8,-1.4,-1.0,0,5,-1,5.1,4.29,1.63,1.63,2.31
