HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
0,9,7,7,2,-2,4.0,2.0,1,0,2.0,4.0,2.0,-2.0,4,2,1,1.55,4.37,6.04,1.69,2.21
0,7,14,14,1,-1,3.0,1.0,2,0,1.5,2.0,1.5,-1.0,2,1,1,1.32,5.77,9.44,1.49,2.62
0,1,4,11,1,-1,2.67,1.0,3,0,1.33,2.0,1.33,-1.0,2,1,1,1.47,4.63,7.0,1.75,2.11
0,16,31,31,2,-2,2.75,1.0,4,0,1.25,3.0,1.5,-2.0,3,1,1,2.08,3.7,3.48,1.71,2.16
0,10,8,36,1,-1,2.8,2.0,5,0,1.4,3.0,1.4,-1.0,3,2,1,2.58,3.72,2.62,1.6,2.38
0,24,21,12,5,-5,3.0,0.0,5,0,1.0,5.0,2.0,-5.0,5,0,1,1.2,6.96,14.82,1.5,2.57
0,18,57,57,2,-2,3.2,1.0,5,0,1.0,3.0,2.2,-2.0,3,1,1,1.51,4.39,6.52,1.77,2.07
0,13,8,8,0,0,2.8,0.0,4,0,0.8,0.0,2.0,0.0,0,0,0,1.82,3.83,4.39,1.8,2.04
0,12,19,4,1,-1,2.8,2.0,4,0,1.0,3.0,1.8,-1.0,3,2,1,1.86,3.86,4.08,1.7,2.17
0,20,20,20,0,0,2.4,1.0,3,0,0.8,1.0,1.6,0.0,1,1,0,1.45,4.72,7.52,1.73,2.14
0,11,4,10,-2,2,1.6,3.0,2,1,1.4,1.0,0.2,2.0,1,3,-1,2.93,3.51,2.42,1.85,1.99
0,6,14,16,4,-4,1.8,0.0,2,0,1.2,4.0,0.6,-4.0,4,0,1,1.36,5.04,9.33,1.82,2.02
0,23,3,14,1,-1,2.4,2.0,3,0,1.6,3.0,0.8,-1.0,3,2,1,1.22,6.82,13.83,1.58,2.41
0,5,15,4,3,-3,2.6,1.0,3,0,1.4,4.0,1.2,-3.0,4,1,1,1.26,5.93,12.83,1.73,2.14
0,8,13,14,3,-3,3.2,1.0,4,0,1.4,4.0,1.8,-3.0,4,1,1,1.29,5.84,10.48,1.53,2.51
0,15,20,19,0,0,3.6,3.0,4,0,1.4,3.0,2.2,0.0,3,3,0,1.2,7.18,14.72,1.51,2.58
0,4,11,24,2,-2,3.4,1.0,4,0,1.6,3.0,1.8,-2.0,3,1,1,1.59,4.22,5.75,1.75,2.1
0,2,12,18,-3,3,2.8,3.0,3,1,1.8,0.0,1.0,3.0,0,3,-1,1.77,4.19,4.21,1.53,2.51
0,19,14,15,5,-5,3.0,0.0,3,0,1.6,5.0,1.4,-5.0,5,0,1,1.37,5.33,7.87,1.46,2.71
1,6,7,7,1,-1,2.0,0.5,1,0,1.0,3.0,1.0,-2.5,2,1,1,1.82,3.56,4.87,2.08,1.77
1,18,15,14,-1,1,1.0,1.0,1,1,1.0,1.5,0.0,-0.5,0,1,-1,2.3,3.43,3.18,1.88,1.95
1,11,6,13,0,0,1.0,2.0,1,1,1.0,1.0,0.0,1.0,1,1,0,8.75,5.63,1.34,1.52,2.54
1,15,13,13,1,-1,1.0,1.5,2,0,0.75,2.0,0.25,-0.5,1,0,1,2.1,3.55,3.53,1.84,1.99
1,4,30,15,-2,2,0.8,1.5,2,1,1.0,1.5,-0.2,0.0,0,2,-1,4.54,3.69,1.82,1.98,1.83
1,20,7,15,4,-4,1.2,0.5,2,0,0.8,2.5,0.4,-2.0,4,0,1,2.14,3.5,3.49,1.9,1.92
1,12,14,15,2,-2,1.8,1.5,3,0,0.8,3.0,1.0,-1.5,3,1,1,3.39,3.54,2.15,1.88,1.94
1,10,50,50,-2,2,1.8,2.5,3,1,1.2,2.0,0.6,0.5,1,3,-1,4.51,4.04,1.75,1.65,2.27
1,19,9,9,0,0,1.8,0.5,2,0,1.4,3.0,0.4,-2.5,1,1,0,1.99,3.57,3.86,2.05,1.78
1,8,9,13,1,-1,2.2,1.0,3,0,1.2,3.0,1.0,-2.0,2,1,1,1.94,3.63,4.02,1.79,2.06
1,9,22,21,-2,2,1.8,3.0,2,1,2.0,3.0,-0.2,0.0,2,4,-1,1.99,3.64,3.83,1.91,1.92
1,0,14,14,-2,2,1.6,4.0,1,1,2.6,2.0,-1.0,2.0,2,4,-1,4.43,3.71,1.84,1.98,1.86
1,5,14,14,1,-1,1.6,0.5,2,0,2.0,2.5,-0.4,-2.0,1,0,1,2.07,3.32,3.88,2.28,1.64
1,23,14,14,3,-3,2.0,1.0,3,0,1.8,3.0,0.2,-2.0,3,0,1,1.72,3.85,4.99,1.92,1.9
1,24,21,4,2,-2,2.0,0.0,3,0,1.6,3.5,0.4,-3.5,2,0,1,1.62,4.09,5.55,1.91,1.91
1,13,7,7,3,-3,2.2,0.0,4,0,0.8,1.5,1.4,-1.5,3,0,1,3.61,3.42,2.13,2.01,1.83
1,7,10,10,1,-1,2.0,0.5,5,0,0.0,1.5,2.0,-1.0,1,0,1,1.8,3.87,4.43,1.81,2.03
1,16,18,13,1,-1,2.2,1.0,5,0,0.2,2.5,2.0,-1.5,2,1,1,2.3,3.6,3.03,1.75,2.1
1,2,15,10,1,-1,2.0,2.0,5,1,0.4,1.0,1.6,1.0,2,1,1,2.04,3.88,3.37,1.53,2.52
23,1,7,7,2,-2,2.0,0.5,1,0,0.0,2.0,2.0,-1.5,2,0,1,3.8,3.5,2.04,2.03,1.8
23,0,14,15,-3,3,1.0,3.5,1,2,1.5,1.0,-0.5,2.5,0,3,-1,7.65,4.7,1.43,1.76,2.09
23,19,11,11,0,0,0.67,0.33,1,0,1.0,2.0,-0.33,-1.67,0,0,0,3.53,3.38,2.16,2.11,1.75
23,20,31,32,0,0,0.5,0.33,1,0,0.75,1.67,-0.25,-1.33,0,0,0,3.36,3.44,2.21,1.99,1.84
23,9,7,21,1,-1,0.8,2.33,2,1,0.8,2.67,0.0,-0.33,2,1,1,3.53,3.63,2.09,1.84,1.99
23,15,11,11,-1,1,0.4,1.33,1,1,1.0,1.33,-0.6,0.0,0,1,-1,2.72,3.33,2.69,2.05,1.78
23,16,10,10,-1,1,0.8,1.67,1,1,1.0,2.33,-0.2,-0.67,2,3,-1,5.1,3.91,1.69,1.9,1.91
23,6,14,14,3,-3,1.4,0.33,2,0,1.0,3.0,0.4,-2.67,3,0,1,2.86,3.25,2.6,2.15,1.72
23,5,49,49,-2,2,1.4,1.0,2,1,1.4,1.67,0.0,-0.67,0,2,-1,2.91,3.27,2.55,2.13,1.73
23,24,21,17,0,0,1.2,0.33,1,0,1.4,2.67,-0.2,-2.33,1,1,0,2.76,3.18,2.76,2.28,1.65
23,13,21,21,0,0,1.4,0.33,1,0,1.4,1.33,0.0,-1.0,1,1,0,6.39,4.06,1.57,2.02,1.83
23,11,14,7,-3,3,1.2,2.67,1,2,1.6,1.0,-0.4,1.67,1,4,-1,10.21,5.81,1.3,1.56,2.45
23,10,14,14,1,-1,0.8,1.67,1,1,1.6,1.67,-0.8,0.0,1,0,1,7.07,4.95,1.43,1.62,2.31
23,7,21,26,1,-1,1.2,0.67,2,0,1.4,1.67,-0.2,-1.0,2,1,1,2.56,3.34,2.84,2.04,1.8
23,2,3,24,-2,2,1.0,2.0,2,2,1.6,0.67,-0.6,1.33,0,2,-1,5.94,4.29,1.57,1.8,2.04
23,18,19,15,-4,4,0.8,2.0,2,2,2.2,1.0,-1.4,1.0,0,4,-1,2.83,3.25,2.61,2.12,1.73
23,8,7,8,3,-3,1.4,1.0,3,0,1.6,3.33,-0.2,-2.33,4,1,1,2.61,3.5,2.68,1.8,2.02
23,4,6,4,-2,2,1.4,2.0,2,2,2.2,1.33,-0.8,0.67,1,3,-1,3.42,3.47,2.17,1.95,1.88
23,12,14,13,-1,1,1.0,1.33,1,1,2.2,2.0,-1.2,-0.67,0,1,-1,6.06,4.77,1.51,1.55,2.46
20,12,7,7,4,-4,4.0,1.0,1,1,0.0,2.5,4.0,-1.5,4,0,1,3.77,3.56,2.02,1.82,2.02
20,6,14,14,0,0,2.5,0.5,1,0,0.5,2.5,2.0,-2.0,1,1,0,2.06,3.47,3.77,2.04,1.8
20,8,7,7,3,-3,3.33,1.25,2,0,1.0,3.75,2.33,-2.5,5,2,1,2.17,3.59,3.33,1.75,2.1
20,0,15,14,-3,3,2.5,3.33,2,3,1.5,0.67,1.0,2.67,0,3,-1,4.3,3.91,1.81,1.68,2.21
