HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
20,0,11,11,-2,2,2.4,1.67,3,2,2.0,1.0,0.4,0.67,1,3,-1,6.67,4.8,1.44,1.54,2.46
20,11,13,16,0,0,2.2,1.25,2,0,2.0,2.75,0.2,-1.5,2,2,0,4.76,4.47,1.64,1.38,3.04
20,10,4,4,-2,2,1.4,2.0,1,2,2.2,1.0,-0.8,1.0,0,2,-1,6.43,5.15,1.43,1.35,3.16
20,16,15,14,-2,2,0.6,1.0,0,1,2.2,1.0,-1.6,0.0,0,2,-1,2.11,3.97,3.1,1.33,3.25
20,6,24,11,0,0,0.8,0.75,0,0,2.0,1.25,-1.2,-0.5,1,1,0,2.02,3.68,3.59,1.85,1.99
2,12,7,7,1,-1,2.0,0.33,1,0,1.0,1.33,1.0,-1.0,2,1,1,2.5,3.72,2.69,1.58,2.42
2,26,21,21,0,0,1.0,1.0,1,0,0.5,1.5,0.5,-0.5,0,0,0,1.38,5.16,7.89,1.56,2.46
2,24,8,8,0,0,1.33,1.0,1,1,1.0,2.5,0.33,-1.5,2,2,0,1.86,3.83,4.21,1.83,2.02
2,16,14,7,1,-1,1.75,1.25,2,1,1.25,1.5,0.5,-0.25,3,2,1,2.9,4.01,2.23,1.39,3.0
2,19,20,21,0,0,1.8,1.4,2,1,1.4,2.4,0.4,-1.0,2,2,0,1.64,4.32,4.94,1.56,2.43
2,11,14,7,1,-1,1.8,1.2,2,0,1.4,2.6,0.4,-1.4,2,1,1,4.34,4.17,1.75,1.53,2.5
2,15,20,20,0,0,2.0,0.8,2,0,1.6,2.2,0.4,-1.4,1,1,0,1.39,5.29,7.57,1.43,2.84
2,5,16,12,-2,2,1.8,1.5,2,1,1.8,1.25,0.0,0.25,1,3,-1,1.89,3.82,3.9,1.72,2.13
2,20,12,12,0,0,1.2,0.5,1,0,1.4,1.5,-0.2,-1.0,0,0,0,1.64,4.44,4.89,1.44,2.78
2,0,8,3,0,0,1.0,1.5,1,2,1.2,1.0,-0.2,0.5,1,1,0,4.36,3.83,1.8,1.73,2.12
2,6,21,21,-1,1,0.6,0.8,0,1,1.2,1.0,-0.6,-0.2,0,1,-1,1.67,3.86,5.39,1.9,1.93
2,4,20,20,3,-3,1.0,0.67,1,1,1.0,1.67,0.0,-1.0,3,0,1,2.85,3.6,2.43,1.58,2.42
2,23,11,10,1,-1,1.2,1.33,2,0,0.6,2.0,0.6,-0.67,2,1,1,2.06,3.81,3.43,1.62,2.35
4,11,7,7,-2,2,0.0,1.4,0,1,2.0,1.6,-2.0,-0.2,0,2,-1,4.05,4.0,1.83,1.5,2.59
4,5,14,14,0,0,0.5,1.4,0,1,1.5,1.2,-1.0,0.2,1,1,0,1.63,4.4,5.01,1.52,2.56
4,2,27,28,2,-2,1.67,1.75,1,1,1.67,2.0,0.0,-0.25,4,2,1,1.74,4.23,4.35,1.5,2.58
4,24,8,14,0,0,1.5,1.0,1,1,1.5,2.2,0.0,-1.2,1,1,0,1.48,4.73,6.32,1.55,2.46
4,13,21,22,1,-1,1.6,1.33,2,0,1.4,2.33,0.2,-1.0,2,1,1,1.76,4.26,4.15,1.44,2.78
4,0,14,8,0,0,1.8,1.4,2,2,1.2,1.0,0.6,0.4,1,1,0,2.75,3.49,2.53,1.71,2.17
4,1,21,22,3,-3,2.2,1.0,3,0,1.0,2.5,1.2,-1.5,3,0,1,1.71,4.21,4.51,1.53,2.51
4,20,14,11,1,-1,1.8,0.67,3,0,0.8,1.67,1.0,-1.0,2,1,1,1.33,5.89,8.08,1.32,3.32
4,7,11,12,-1,1,1.8,2.0,3,1,1.0,1.0,0.8,1.0,1,2,-1,1.47,4.88,6.15,1.45,2.72
4,23,19,16,0,0,1.8,1.5,2,0,1.2,2.0,0.6,-0.5,2,2,0,1.5,4.81,5.92,1.42,2.87
4,19,6,5,2,-2,2.2,1.6,3,1,1.2,2.6,1.0,-1.0,3,1,1,1.37,5.51,7.3,1.37,3.06
4,18,14,8,1,-1,2.0,1.0,3,1,1.4,1.0,0.6,0.0,2,1,1,1.36,5.54,7.58,1.38,2.99
4,15,22,24,4,-4,2.4,0.6,3,0,1.2,2.4,1.2,-1.8,4,0,1,1.17,8.55,14.69,1.28,3.72
5,18,7,7,-2,2,0.0,1.2,0,1,2.0,1.0,-2.0,0.2,0,2,-1,2.17,3.63,3.25,1.76,2.1
5,9,21,21,0,0,1.0,1.5,0,0,2.0,3.0,-1.0,-1.5,2,2,0,1.63,4.14,5.38,1.76,2.1
5,12,7,7,0,0,0.67,0.25,0,0,1.33,1.0,-0.67,-0.75,0,0,0,2.85,3.72,2.36,1.6,2.39
5,10,14,7,-1,1,0.5,1.8,0,3,1.25,0.8,-0.75,1.0,0,1,-1,6.36,4.65,1.49,1.59,2.4
5,16,22,21,1,-1,0.6,1.0,1,1,1.0,1.4,-0.4,-0.4,1,0,1,3.97,3.97,1.85,1.59,2.4
5,7,13,14,-2,2,0.6,2.0,1,2,1.0,0.5,-0.4,1.5,0,2,-1,2.7,3.48,2.61,1.93,1.91
5,13,21,20,0,0,0.4,1.25,1,0,0.8,2.0,-0.4,-0.75,1,1,0,3.04,3.56,2.3,1.79,2.08
5,11,7,6,0,0,0.8,1.6,1,1,1.2,1.6,-0.4,0.0,2,2,0,5.39,4.33,1.6,1.64,2.31
5,0,14,13,-4,4,1.0,2.0,1,2,2.0,1.2,-1.0,0.8,1,5,-1,6.08,4.11,1.57,1.83,2.01
5,15,8,7,1,-1,1.2,0.8,1,0,2.2,2.6,-1.0,-1.8,2,1,1,1.61,4.11,5.42,1.75,2.09
5,4,6,5,0,0,1.4,0.75,1,1,2.0,1.5,-0.6,-0.75,1,1,0,3.65,3.88,1.95,1.58,2.39
