HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
,,15,18,0,0,1.4,1.33,2,1,0.6,1.0,0.8,0.33,0,0,0,10.54,6.13,1.24,1.44,2.67
,,7,3,1,-1,1.4,1.4,3,2,0.2,2.0,1.2,-0.6,1,0,1,2.31,3.45,2.9,1.85,1.92
,,7,7,-1,1,0.8,1.6,2,2,0.4,1.0,0.4,0.6,0,1,-1,2.36,3.41,2.85,1.87,1.89
,,21,17,-2,2,0.6,1.2,1,2,1.0,1.4,-0.4,-0.2,1,3,-1,5.08,4.12,1.6,1.65,2.2
,,27,28,1,-1,0.6,0.8,2,1,0.8,2.4,-0.2,-1.6,1,0,1,1.7,3.75,4.84,1.85,1.94
,,4,10,-2,2,0.8,1.8,2,2,1.4,2.4,-0.6,-0.6,1,3,-1,2.51,3.32,2.74,1.9,1.88
,,7,7,0,0,0.0,1.0,0,2,0.0,1.0,0.0,0.0,0,0,0,4.91,4.34,1.59,1.56,2.38
,,29,22,-1,1,0.0,1.0,0,2,0.5,1.6,-0.5,-0.6,0,1,-1,1.81,3.96,3.89,1.64,2.22
,,27,35,0,0,0.33,1.2,0,2,0.67,2.0,-0.33,-0.8,1,1,0,1.67,3.84,4.92,1.84,1.95
,,21,21,4,-4,1.25,1.0,1,1,0.5,2.2,0.75,-1.2,4,0,1,1.8,3.7,4.23,1.86,1.93
,,11,4,-1,1,1.2,1.6,1,2,0.8,2.2,0.4,-0.6,1,2,-1,1.92,3.61,3.82,1.78,2.01
,,24,13,-3,3,1.4,2.0,1,2,1.6,1.0,-0.2,1.0,1,4,-1,7.12,5.0,1.39,1.52,2.46
,,8,5,0,0,1.6,1.2,1,2,1.6,1.8,0.0,-0.6,1,1,0,2.37,3.42,2.84,1.77,2.02
,,6,7,2,-2,1.8,0.6,2,0,1.4,3.2,0.4,-2.6,2,0,1,1.79,3.82,4.08,1.72,2.09
,,15,15,1,-1,1.4,0.8,2,1,1.6,2.0,-0.2,-1.2,2,1,1,1.57,4.11,5.43,1.79,2.0
,,4,5,-1,1,1.4,1.6,2,2,1.6,2.4,-0.2,-0.8,1,2,-1,2.15,3.46,3.21,1.81,1.97
,,7,7,1,-1,1.4,0.6,3,1,0.8,2.2,0.6,-1.6,1,0,1,1.8,3.62,4.21,1.85,1.91
,,23,27,1,-1,1.8,2.0,4,2,1.0,2.0,0.8,0.0,3,2,1,1.89,3.54,3.95,1.99,1.81
,,22,21,-2,2,1.6,1.6,3,3,1.6,0.6,0.0,1.0,1,3,-1,4.56,3.79,1.72,1.72,2.08
,,10,4,2,-2,1.8,0.6,3,0,1.6,2.8,0.2,-2.2,3,1,1,1.8,3.61,4.33,1.94,1.85
